ARMAS NOVAS EM 2017 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Pessoa física;23;22;31;29;25;16;29;28;13;2;3;2;223
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;5;0;14;0;0;0;0;0;0;0;0;19
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;23;27;31;43;25;16;29;28;13;2;3;2;242
;TOTAL DE REGISTROS EXPEDIDOS;113;79;126;195;182;86;492;250;101;417;72;108;2221
AL;Pessoa física;33;33;29;32;25;38;36;35;25;39;32;29;386
;Segurança Pública;0;3;0;0;0;0;0;0;0;199;3;1;206
;Segurança Privada;1;2;26;0;2;13;0;1;0;2;2;26;75
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;1;0;0;0;0;0;0;1
;Outros Tipos;0;0;0;0;0;0;0;1;2;0;0;0;3
;TOTAL DE REGISTROS DE ARMAS NOVAS;34;38;55;32;27;52;36;37;27;240;37;56;671
;TOTAL DE REGISTROS EXPEDIDOS;263;591;207;148;307;191;676;481;190;169;275;136;3634
AM;Pessoa física;39;8;41;24;16;24;18;0;1;8;22;4;205
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;11;0;0;16;0;0;0;0;0;0;27
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;39;8;52;24;16;40;18;0;1;8;22;4;232
;TOTAL DE REGISTROS EXPEDIDOS;228;93;219;313;156;300;92;113;66;273;28;12;1893
AP;Pessoa física;12;8;14;16;11;4;22;30;17;19;20;19;192
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;1;0;0;0;10;0;0;0;0;0;8;19
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;12;9;14;16;11;14;22;30;17;19;20;27;211
;TOTAL DE REGISTROS EXPEDIDOS;66;60;60;85;88;60;68;132;32;49;70;101;871
BA;Pessoa física;64;75;49;53;47;59;41;58;62;100;43;40;691
;Segurança Pública;0;0;0;0;1;0;0;0;0;0;0;0;1
;Segurança Privada;62;61;15;38;13;17;10;1;0;0;27;61;305
;Órgão Público;0;0;0;0;0;0;0;0;0;0;32;23;55
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;126;136;64;91;61;76;51;59;62;100;102;124;1052
;TOTAL DE REGISTROS EXPEDIDOS;958;296;825;559;492;403;552;511;446;647;547;360;6596
CE;Pessoa física;43;33;57;49;36;28;28;37;97;69;39;15;531
;Segurança Pública;0;0;0;1;0;0;0;0;0;0;148;0;149
;Segurança Privada;3;0;8;7;17;25;25;19;57;24;59;10;254
;Órgão Público;0;0;0;0;0;0;5;0;0;0;0;0;5
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;12;0;0;0;0;0;0;0;0;0;0;0;12
