ARMAS NOVAS EM 2018 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Pessoa física;1;3;20;7;19;20;42;14;20;38;29;12;225
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;0;0;0;0;0;0;6;4;0;0;10
;Órgão Público;0;0;0;5;0;0;0;0;0;0;0;0;5
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;1;3;20;12;19;20;42;14;26;42;29;12;240
;TOTAL DE REGISTROS EXPEDIDOS;105;87;174;222;85;337;177;98;93;380;131;50;1939
AL;Pessoa física;20;41;42;43;37;17;33;50;39;31;33;31;417
;Segurança Pública;0;99;0;0;0;0;12;0;0;0;0;0;111
;Segurança Privada;0;0;3;20;7;0;0;0;2;0;0;3;35
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;38;0;0;0;27;0;0;65
;Outros Tipos;0;0;3;0;0;0;0;0;0;0;0;0;3
;TOTAL DE REGISTROS DE ARMAS NOVAS;20;140;48;63;44;55;45;50;41;58;33;34;631
;TOTAL DE REGISTROS EXPEDIDOS;116;303;867;531;347;219;171;380;173;220;256;203;3786
AM;Pessoa física;3;2;14;4;13;33;16;15;19;7;32;24;182
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;9;3;33;10;0;10;18;0;11;10;0;30;134
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;1;0;0;1;0;0;1;0;0;3
;TOTAL DE REGISTROS DE ARMAS NOVAS;12;5;47;15;13;43;35;15;30;18;32;54;319
;TOTAL DE REGISTROS EXPEDIDOS;279;65;87;147;458;335;245;239;150;1;407;38;2451
AP;Pessoa física;10;18;20;10;18;9;29;31;24;29;21;13;232
