ARMAS NOVAS EM 2016 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Pessoa física;31;19;33;52;26;26;33;43;34;17;21;43;378
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;0;0;0;0;0;0;9;23;0;3;35
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;31;19;33;52;26;26;33;43;43;40;21;46;413
;TOTAL DE REGISTROS EXPEDIDOS;184;100;190;145;151;98;179;131;236;120;91;107;1732
AL;Pessoa física;51;24;37;28;27;34;26;30;36;18;33;38;382
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;343;369;712
;Segurança Privada;0;0;0;0;0;0;15;3;8;7;5;1;39
;Órgão Público;0;0;0;0;0;0;0;0;0;0;8;0;8
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;51;24;37;28;27;34;41;33;44;25;389;408;1141
;TOTAL DE REGISTROS EXPEDIDOS;116;86;154;135;90;185;194;213;160;198;286;146;1963
AM;Pessoa física;22;22;12;31;33;19;22;9;6;15;31;33;255
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;64;0;0;0;61;61;0;0;0;20;0;28;234
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;86;22;12;31;94;80;22;9;6;35;31;61;489
;TOTAL DE REGISTROS EXPEDIDOS;69;127;185;151;233;136;231;198;11;274;209;207;2031
AP;Pessoa física;6;2;19;7;17;11;17;17;9;9;15;19;148
;Segurança Pública;4;0;1;0;0;5;0;0;0;0;0;0;10
;Segurança Privada;0;11;0;0;0;0;0;5;0;0;1;20;37
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;10;13;20;7;17;16;17;22;9;9;16;39;195
;TOTAL DE REGISTROS EXPEDIDOS;16;19;47;18;79;26;29;50;34;109;34;126;587
BA;Pessoa física;61;51;67;50;86;55;52;83;57;45;46;36;689
