ARMAS NOVAS EM 2013 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Pessoa física;22;4;18;15;15;13;0;4;18;15;3;13;140
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;350;350
;Segurança Privada;0;0;0;0;0;0;1;0;0;0;0;2;3
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;51;51
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;22;4;18;15;15;13;1;4;18;15;3;416;544
;TOTAL DE REGISTROS EXPEDIDOS;57;119;203;79;145;75;109;144;129;62;78;39;1239
AL;Pessoa física;22;20;20;21;32;22;21;17;35;26;25;24;285
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;12;4;45;0;0;12;0;13;0;0;7;0;93
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;34;24;65;21;32;34;21;30;35;26;32;24;378
;TOTAL DE REGISTROS EXPEDIDOS;47;80;63;43;50;31;44;77;40;62;15;52;604
AM;Pessoa física;71;39;62;80;89;42;28;43;72;35;20;69;650
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;41;2;94;0;5;48;10;34;0;0;0;7;241
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;2;0;0;0;0;0;0;0;2
;TOTAL DE REGISTROS DE ARMAS NOVAS;112;41;156;80;96;90;38;77;72;35;20;76;893
