ARMAS NOVAS EM 2014 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Pessoa física;40;13;11;14;13;14;17;20;22;28;21;22;235
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;28;0;0;0;0;0;0;0;0;0;0;28
;Órgão Público;0;0;0;0;0;0;24;0;0;0;0;0;24
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;40;41;11;14;13;14;41;20;22;28;21;22;287
;TOTAL DE REGISTROS EXPEDIDOS;92;581;264;131;263;414;40;1799;131;94;37;53;3899
AL;Pessoa física;39;44;26;46;57;27;51;35;54;83;58;64;584
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;577;577
;Segurança Privada;0;0;105;0;51;0;0;33;15;10;0;0;214
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;1;0;1
;TOTAL DE REGISTROS DE ARMAS NOVAS;39;44;131;46;108;27;51;68;69;93;59;641;1376
;TOTAL DE REGISTROS EXPEDIDOS;43;47;33;38;83;28;66;40;49;51;58;33;569
AM;Pessoa física;29;40;26;57;51;11;35;63;94;36;26;29;497
;Segurança Pública;0;0;0;0;0;0;20;0;0;106;0;101;227
;Segurança Privada;22;39;0;10;0;0;0;0;19;29;24;1;144
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;51;79;26;67;51;11;55;63;113;171;50;131;868
;TOTAL DE REGISTROS EXPEDIDOS;338;48;43;88;84;41;101;90;108;75;41;47;1104
AP;Pessoa física;5;6;18;8;6;14;18;22;27;14;33;14;185
;Segurança Pública;0;0;0;0;0;0;96;0;0;0;0;0;96
;Segurança Privada;16;0;0;0;9;2;0;17;13;0;0;0;57
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;21;6;18;8;15;16;114;39;40;14;33;14;338
;TOTAL DE REGISTROS EXPEDIDOS;73;61;53;9;8;21;63;19;18;17;25;108;475
BA;Pessoa física;74;58;64;83;96;58;43;94;96;108;103;126;1003
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;1;0;1
;Segurança Privada;10;10;15;21;14;0;0;0;0;34;1;31;136
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;10;0;0;0;0;0;0;0;0;10
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;84;68;79;114;110;58;43;94;96;142;105;157;1150
;TOTAL DE REGISTROS EXPEDIDOS;143;130;166;189;453;203;357;308;459;278;218;303;3207
CE;Pessoa física;57;55;51;59;29;18;59;54;72;91;81;62;688
;Segurança Pública;0;0;0;0;0;0;0;10;0;78;2;0;90
;Segurança Privada;3;18;3;131;63;80;10;4;14;6;21;18;371
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;60;73;54;190;92;98;69;68;86;175;104;80;1149
;TOTAL DE REGISTROS EXPEDIDOS;177;127;63;91;93;63;78;111;133;147;66;101;1250
DF;Pessoa física;49;8;11;4;19;14;17;15;74;97;100;87;495
;Segurança Pública;0;0;0;0;0;762;0;501;0;0;0;0;1263
;Segurança Privada;2;87;113;68;46;3;0;35;37;95;38;43;567
;Órgão Público;0;0;0;0;0;0;0;0;0;0;312;30;342
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;51;95;124;72;65;779;17;551;111;192;450;160;2667
;TOTAL DE REGISTROS EXPEDIDOS;389;3387;151;383;173;3977;944;216;744;2358;196;168;13086
ES;Pessoa física;9;12;12;16;12;11;16;12;20;11;33;33;197
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;310;310;620
;Segurança Privada;3;7;1;56;11;0;0;6;4;0;18;10;116
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;12;19;13;72;23;11;16;18;24;11;361;353;933
;TOTAL DE REGISTROS EXPEDIDOS;246;33;24;11;230;47;179;41;100;149;62;127;1249
GO;Pessoa física;153;228;277;232;198;31;41;328;335;510;281;290;2904
;Segurança Pública;0;0;0;0;0;0;0;0;0;7;69;0;76
;Segurança Privada;0;5;20;54;35;56;2;3;45;74;3;22;319
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;2;0;2
;TOTAL DE REGISTROS DE ARMAS NOVAS;153;233;297;286;233;87;43;331;380;591;355;312;3301
;TOTAL DE REGISTROS EXPEDIDOS;133;282;229;300;217;76;260;361;423;425;495;298;3499
MA;Pessoa física;0;0;1;4;2;2;1;0;6;5;2;1;24
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;0;0;0;0;0;0;0;12;0;9;21
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;1;0;0;1
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;0;1;4;2;2;1;0;6;18;2;10;46
;TOTAL DE REGISTROS EXPEDIDOS;271;173;50;106;221;299;33;171;283;221;62;69;1959
MG;Pessoa física;40;73;53;63;52;41;56;77;121;205;177;166;1124
;Segurança Pública;0;0;0;362;0;23;0;0;4;355;1365;0;2109
;Segurança Privada;0;39;0;75;74;0;0;11;30;50;23;89;391
;Órgão Público;0;0;0;0;0;0;0;171;0;0;0;1325;1496
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;40;112;53;500;126;64;56;259;155;610;1565;1580;5120
;TOTAL DE REGISTROS EXPEDIDOS;835;549;489;459;331;775;456;390;474;1016;455;283;6512
MS;Pessoa física;39;16;25;47;53;11;30;29;40;17;16;29;352
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;1;0;0;0;0;0;0;0;0;0;0;1
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;39;17;25;47;53;11;30;29;40;17;16;29;353
