ARMAS NOVAS EM 2015 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Pessoa física;13;25;27;23;15;22;20;55;30;25;14;25;294
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;2;0;0;0;0;0;0;0;0;0;0;2
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;2;0;0;0;0;0;0;0;2
;TOTAL DE REGISTROS DE ARMAS NOVAS;13;27;27;23;17;22;20;55;30;25;14;25;298
;TOTAL DE REGISTROS EXPEDIDOS;55;68;73;45;90;58;261;308;145;103;60;118;1384
AL;Pessoa física;36;24;51;63;56;58;47;73;33;43;39;35;558
;Segurança Pública;0;1;0;0;0;0;83;0;0;0;30;119;233
;Segurança Privada;5;1;3;0;3;10;7;23;0;0;2;0;54
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;41;26;54;63;59;68;137;96;33;43;71;154;845
;TOTAL DE REGISTROS EXPEDIDOS;601;35;50;56;140;176;71;100;67;107;65;81;1549
AM;Pessoa física;32;69;96;51;35;12;43;61;37;25;34;24;519
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;0;0;23;0;70;15;2;0;0;9;119
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;32;69;96;51;58;12;113;76;39;25;34;33;638
;TOTAL DE REGISTROS EXPEDIDOS;85;326;134;55;69;59;81;72;78;69;99;48;1175
AP;Pessoa física;2;21;31;23;20;21;30;22;11;18;12;4;215
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;0;11;0;35;10;12;0;0;0;0;68
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;2;21;31;34;20;56;40;34;11;18;12;4;283
;TOTAL DE REGISTROS EXPEDIDOS;16;120;35;44;26;65;110;25;24;30;44;5;544
BA;Pessoa física;65;45;92;87;81;46;75;91;88;125;79;68;942
;Segurança Pública;0;0;0;0;0;0;0;2;7;1;0;0;10
;Segurança Privada;40;23;16;29;47;55;61;116;282;10;1;28;708
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;2;0;0;4;0;0;0;6
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;105;68;108;116;128;103;136;209;381;136;80;96;1666
;TOTAL DE REGISTROS EXPEDIDOS;64;123;119;137;268;311;143;151;112;205;417;188;2238
CE;Pessoa física;57;91;161;103;108;78;106;100;85;104;107;118;1218
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;34;32;0;16;69;0;36;8;4;25;0;23;247
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;8;0;0;0;0;0;0;0;8
;TOTAL DE REGISTROS DE ARMAS NOVAS;91;123;161;119;185;78;142;108;89;129;107;141;1473
;TOTAL DE REGISTROS EXPEDIDOS;56;118;143;128;139;230;161;108;228;173;145;134;1763
DF;Pessoa física;53;141;257;150;87;86;75;63;50;35;38;38;1073
;Segurança Pública;10;0;182;61;1;0;0;0;0;0;0;0;254
